"","r","t","K100","K105","K110","K115","K120","K125","K126","K127","K128","K129","K130","K131","K132","K133","K134","K135","K136","K137","K138","K139","K140","K141","K142","K143","K144","K145","K146","K147","K148","K149","K150","K155","K160","K165","K170","K175","K180","K185","K190","K195","K200","S"
"1",0.0425,0,45.48,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,7,NA,NA,NA,NA,4.2625,2.4642,1.17,NA,NA,NA,NA,NA,NA,0.05,NA,144.9594
"2",0.0425,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,7.74,NA,NA,NA,NA,NA,NA,NA,2.4733,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.59
"3",0.0425,2,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,4.2425,NA,1.22,0.65,NA,NA,NA,NA,NA,NA,NA,144.6
"4",0.0425,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,8.96,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.73
"5",0.0425,4,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,6.65,6.17,NA,NA,NA,NA,2.5083,1.3,NA,NA,0.19,NA,NA,NA,NA,NA,144.769
"6",0.0425,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,NA,NA,9.2313,NA,7.7955,7.35,6.65,6.2469,NA,NA,NA,4.2,2.4625,1.3263,NA,NA,0.18,NA,NA,NA,NA,NA,144.99
"7",0.0425,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.52,NA,NA,NA,NA,NA,NA,NA,7.86,7.4,6.9,6.3,NA,NA,NA,NA,2.5214,1.33,NA,NA,NA,NA,NA,NA,NA,NA,145.07
"8",0.0425,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,7.94,NA,6.95,6.3667,NA,NA,NA,4.5,2.505,1.36,NA,NA,NA,NA,NA,NA,NA,NA,144.95
"9",0.0425,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6.2467,NA,5.22,NA,4.3,2.5318,NA,NA,0.35,NA,NA,NA,NA,NA,NA,144.9
"10",0.0425,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,8.75,NA,NA,6.965,NA,NA,5.33,4.88,4.42,2.5304,1.42,NA,NA,NA,0.1,NA,NA,NA,NA,145.27
"11",0.0425,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,4.92,4.5,2.646,1.42,NA,NA,0.2,NA,NA,NA,NA,NA,145.24
"12",0.0425,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,NA,7.95,NA,6.95,6.3857,NA,NA,NA,NA,2.5525,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.07
"13",0.0425,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.13
"14",0.0425,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.67,NA,NA,NA,NA,9.09,8.57,NA,7.2,6.7,6.3,NA,NA,NA,4.332,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,144.761
"15",0.0425,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,144.7243
"16",0.0425,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.35,NA,9.7,9,8.45,7.65,NA,NA,NA,NA,NA,NA,4.2,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.02
"17",0.0425,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,12.2,NA,NA,9.89,NA,NA,NA,NA,NA,NA,5.7,NA,NA,4.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,145.05
"18",0.0425,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,4.4,2.56,1.41,0.7,NA,NA,NA,NA,NA,NA,NA,144.9999
"19",0.0425,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,7.475,NA,NA,NA,NA,NA,NA,2.58,1.44,NA,NA,NA,NA,NA,NA,NA,NA,145.17
"20",0.0425,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,4.5,2.62,NA,NA,NA,NA,0.1,NA,NA,NA,NA,145.205
"21",0.0425,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16,7.5,NA,NA,NA,NA,NA,NA,NA,1.4331,0.73,NA,NA,NA,NA,NA,NA,NA,145.23
