"","c","t"
"1",144.71,1664870400000
"2",144.88,1664870460000
"3",144.9,1664870520000
"4",144.7,1664870580000
"5",144.9,1664870640000
"6",144.8,1664870700000
"7",144.83,1664870760000
"8",144.8,1664870820000
"9",144.83,1664870940000
"10",144.85,1.664871e+12
"11",144.92,1664871060000
"12",144.89,1664871120000
"13",144.86,1664871240000
"14",144.83,1664871300000
"15",144.78,1664871360000
"16",144.7,1664871420000
"17",144.7,1664871540000
"18",144.61,1664871600000
"19",144.61,1664871660000
"20",144.51,1664871720000
"21",144.55,1664871840000
"22",144.65,1664872020000
"23",144.71,1664872080000
"24",144.86,1664872140000
"25",144.74,1664872200000
"26",144.86,1664872260000
"27",144.85,1664872320000
"28",144.76,1664872380000
"29",144.8,1664872440000
"30",144.91,1664872560000
"31",144.95,1664872620000
"32",144.89,1664872680000
"33",144.82,1664872740000
"34",144.93,1664872800000
"35",144.82,1664872920000
"36",144.77,1664873220000
"37",144.76,1664873280000
"38",144.83,1664873340000
"39",144.83,1664873400000
"40",144.8,1664873460000
"41",144.76,1664873580000
"42",144.84,1664873760000
"43",144.96,1664873820000
"44",144.95,1.664874e+12
"45",144.96,1664874060000
"46",144.95,1664874180000
"47",144.94,1664874240000
"48",144.86,1664874300000
"49",144.93,1664874360000
"50",144.95,1664874420000
"51",144.85,1664874480000
"52",144.87,1664874540000
"53",144.7,1664874660000
"54",144.9,1664874720000
"55",144.75,1664874780000
"56",144.66,1664874840000
"57",144.78,1664874900000
"58",144.78,1664875440000
"59",144.73,1664875500000
"60",144.72,1664875560000
"61",144.86,1664875620000
"62",144.92,1664875680000
"63",144.98,1664875740000
"64",144.9,1664875800000
"65",144.81,1664875860000
"66",144.71,1664875920000
"67",144.8,1664875980000
"68",144.85,1664876100000
"69",144.87,1664876160000
"70",144.89,1664876220000
"71",144.92,1664876400000
"72",144.9,1664876520000
"73",144.95,1664876580000
"74",144.9,1664876700000
"75",144.98,1.664877e+12
"76",145.01,1664877060000
"77",145.1,1664877300000
"78",145.17,1664877360000
"79",145.18,1664877420000
"80",145.15,1664877540000
"81",145.07,1664877660000
"82",145.15,1664877840000
"83",145.1,1664877900000
"84",145.08,1664878020000
"85",145.09,1664878140000
"86",145.3,1664878200000
"87",145.14,1664878320000
"88",145.26,1664878380000
"89",145.44,1664878440000
"90",145.35,1664878500000
"91",145.35,1664878620000
"92",145.49,1664878680000
"93",145.56,1664878740000
"94",145.49,1664878800000
"95",145.48,1664878860000
"96",145.47,1664878920000
"97",145.36,1664879040000
"98",145.4,1664879100000
"99",145.35,1664879160000
"100",145.39,1664879340000
"101",145.44,1664879460000
"102",145.5,1664879520000
"103",145.45,1664879580000
"104",145.41,1664879700000
"105",145.33,1664879760000
"106",145.46,1664879820000
"107",145.4,1664879880000
"108",145.4,1664879940000
"109",145.36,1664880120000
"110",145.36,1664880180000
"111",145.47,1664880240000
"112",145.44,1664880300000
"113",145.3,1664880360000
"114",145.35,1664880420000
"115",145.27,1664880480000
"116",145.27,1664880540000
"117",145.22,1664880660000
"118",145.09,1664880720000
"119",145.21,1664880780000
"120",145.15,1664880900000
"121",145.11,1664880960000
"122",145.12,1664881020000
"123",145.07,1664881140000
"124",145.01,1664881200000
"125",144.89,1664881260000
"126",144.99,1664881320000
"127",144.95,1664881380000
"128",145,1664881440000
"129",144.88,1664881500000
"130",144.95,1664881560000
"131",145.09,1664881620000
"132",145.1,1664881680000
"133",145.1,1664881740000
"134",145.12,1664881800000
"135",145.07,1664881860000
"136",145,1664881920000
"137",145.01,1664881980000
"138",145.08,1664882040000
"139",145.03,1664882100000
"140",145.1,1664882160000
"141",145.1,1664882220000
"142",144.98,1664882280000
"143",144.96,1664882340000
"144",145,1664882400000
"145",144.98,1664882460000
"146",144.95,1664882520000
"147",144.95,1664882580000
"148",144.9,1664882640000
"149",144.92,1664882700000
"150",144.95,1664882760000
"151",145,1664882820000
"152",145,1664882880000
"153",145,1664882940000
"154",145.05,1.664883e+12
"155",145.09,1664883060000
"156",145.03,1664883120000
"157",145.08,1664883180000
"158",145.02,1664883240000
"159",145.09,1664883300000
"160",145.06,1664883360000
"161",145.01,1664883420000
"162",145.03,1664883480000
"163",145.02,1664883540000
"164",145.01,1664883600000
"165",145.06,1664883660000
"166",145.07,1664883720000
"167",145.05,1664883780000
"168",145.12,1664883840000
"169",145.07,1664883900000
"170",144.97,1664883960000
"171",145.07,1664884020000
"172",145.06,1664884080000
"173",145.02,1664884140000
"174",145,1664884200000
"175",145,1664884260000
"176",145,1664884320000
"177",145.14,1664884380000
"178",145.13,1664884440000
"179",145.12,1664884500000
"180",145.15,1664884560000
"181",145.17,1664884620000
"182",145.17,1664884680000
"183",145.18,1664884740000
"184",145.2,1664884800000
"185",145.37,1664884860000
"186",145.34,1664884920000
"187",145.3,1664884980000
"188",145.4,1664885040000
"189",145.3501,1664885100000
"190",145.38,1664885160000
"191",145.31,1664885220000
"192",145.23,1664885280000
"193",145.26,1664885340000
"194",145.23,1664885400000
"195",145.29,1664885460000
"196",145.3,1664885520000
"197",145.3,1664885580000
"198",145.32,1664885640000
"199",145.39,1664885700000
"200",145.43,1664885760000
"201",145.4,1664885820000
"202",145.37,1664885880000
"203",145.41,1664885940000
"204",145.22,1.664886e+12
"205",145,1664886060000
"206",145.12,1664886120000
"207",144.98,1664886180000
"208",145.0415,1664886240000
"209",144.94,1664886300000
"210",144.99,1664886360000
"211",144.99,1664886420000
"212",145.01,1664886480000
"213",145,1664886540000
"214",144.99,1664886600000
"215",145.02,1664886660000
"216",144.95,1664886720000
"217",144.95,1664886780000
